연번,업체명,대표자명(익명),벤처확인유형,지역,주소,업종분류(기보),업종명(11차),주생산품,벤처유효시작일,벤처유효종료일,벤처확인기관,신규_재확인
36227,주식회사 에스엘즈,"이**,정**",벤처투자유형,경기,경기 시흥시,정보처리S/W,응용 소프트웨어 개발 및 공급업,"ROUTi-AR, ROUTi-AI, Build AR",2026-01-05,2029-01-04,벤처기업확인기관,재확인
36228,주식회사 씨엠티,김**,혁신성장유형,경남,경상남도 양산시,제조업,그 외 기타 일반목적용 기계 제조업,컨베이어로봇자동화시스템,2026-01-15,2029-01-14,벤처기업확인기관,재확인
36229,주식회사 메이크델타,김**,벤처투자유형,서울,서울 마포구,정보처리S/W,데이터베이스 및 온라인정보 제공업,금융분석 온라인정보제공 서비스,2026-02-08,2029-02-07,벤처기업확인기관,재확인
36230,주식회사 알엠생명과학,김**,혁신성장유형,서울,서울특별시 금천구,제조업,그 외 기타 의료용품 및 의약 관련제품 제조업,의료기기,2026-03-17,2029-03-16,벤처기업확인기관,신규
36231,"주식회사 엠디셀 (MDCELL Co, Ltd.)",유**,혁신성장유형,서울,서울특별시 금천구,제조업,화장품 제조업,"화장품 제조업,그 외 기타 달리 분류되지 않은 제품 제조업,화장품,의료 기기 도매업,상품 종합 도매업,상품 종합 도매업,두피, 모발 프랜차이즈 및 컨설팅,건강",2026-02-10,2029-02-09,벤처기업확인기관,신규
36232,(주)세방섬유,장**,혁신성장유형,경기,경기도 포천시,제조업,섬유제품 기타 정리 및 마무리 가공업,면니트염색,2025-12-21,2028-12-20,벤처기업확인기관,재확인
36233,"주식회사 스탁브릭스(Stock Bricks,Inc.)",임**,혁신성장유형,경기,경기도 김포시,정보처리S/W,응용 소프트웨어 개발 및 공급업,흑돼지(양돈)를 조각 단위로 나눠 투자할 수 있는 핀테크 플랫폼 및  그 연계되는 ICT/AI 기반 축산(양돈) 데이터 엔진 시스템,2026-03-05,2029-03-04,벤처기업확인기관,신규
36234,(주)그린백스,문**,연구개발유형,경남,경남 김해시,연구개발서비스,"물리, 화학 및 생물학 연구개발업","백신 불활화제,면역증가제,바이오신약,천연물 치료제 연구개발,생활화학제품,부동산 매매,개발,시행",2026-02-08,2029-02-07,벤처기업확인기관,재확인
36235,쏠라리스 주식회사,"김**,김**",벤처투자유형,경남,경상남도 양산시,도소매업,전기용 기계장비 및 관련 기자재 도매업,멀티탭(연장콘센트) 및 부속품 판매,2025-12-24,2028-12-23,벤처기업확인기관,신규
36236,주식회사 라브,최**,혁신성장유형,경기,경기 김포시,제조업,비 및 솔 제조업,"구강용기구(교정전용제품, 칫솔, 치약, 치실 외)",2025-11-22,2028-11-21,벤처기업확인기관,재확인
36237,삼승테크(주),손**,혁신성장유형,경기,경기 광주시,제조업,"물질 검사, 측정 및 분석기구 제조업","카메라모듈검사장치, 전동스테이지",2025-11-30,2028-11-29,벤처기업확인기관,재확인
36238,주식회사 디에스전자,임**,벤처투자유형,대전,대전광역시 유성구,제조업,비메모리용 및 기타 전자집적회로 제조업,전자집적회로,2026-01-08,2029-01-07,벤처기업확인기관,재확인
36239,주식회사 미니크에이아이,강**,벤처투자유형,서울,서울특별시 관악구,정보처리S/W,응용 소프트웨어 개발 및 공급업,모바일앱,2025-12-31,2028-12-30,벤처기업확인기관,신규
36240,주식회사 다모아텍,정**,벤처투자유형,경기,경기 성남시,제조업,기타 반도체소자 제조업,"반도체칩,ICT 융복합제품/농업용기기 및 농축산ICT장비,사물인터넷(IoT)디바이스 및 어플리케이션,반도체,소프트웨어자문및공급/펌웨어개발/빅데이터분석처리/영",2026-01-14,2029-01-13,벤처기업확인기관,재확인
36241,주식회사 식파마,서**,벤처투자유형,대구,대구광역시 동구,정보처리S/W,데이터베이스 및 온라인정보 제공업,"식당 내 QR 코드를 통한 주문, 결제 시스템",2026-01-11,2029-01-10,벤처기업확인기관,재확인
36242,(주)레타폴,조**,벤처투자유형,인천,인천광역시 서구,제조업,절삭가공 및 유사처리업,"신차용품, 차량용품, 내장품",2025-12-31,2028-12-30,벤처기업확인기관,신규
36243,에스제이데이타 주식회사,박**,혁신성장유형,충북,충청북도 청주시,정보처리S/W,데이터베이스 및 온라인정보 제공업,지도제작,2025-12-28,2028-12-27,벤처기업확인기관,재확인
36244,주식회사 마초의사춘기,김**,벤처투자유형,서울,서울 서초구,기타,인테리어 디자인업,"인테리어 디자인업, 제품 디자인업, 시각 디자인업,기타 전문 디자인업,조경식재업,실내장식(건설업등록증 없음),식물,전자상거래업,관광지원서비스업,응용 소프",2026-02-01,2029-01-31,벤처기업확인기관,재확인
36245,㈜이앤이솔루션,"김**,이**",혁신성장유형,경기,경기도 용인시,기타,환경 관련 엔지니어링 서비스업,"스크린,디켄터,탈취기,살균기,가압부상조,비점오염저감장치등 ",2026-02-12,2029-02-11,벤처기업확인기관,재확인
36246,주식회사 재민뷰텍,김**,혁신성장유형,경기,경기도 군포시,제조업,스크린 인쇄업,"화장품 명판인쇄, 전자제품 부품 인쇄, 신용 카드 인쇄 ",2026-02-03,2029-02-02,벤처기업확인기관,신규
36247,주식회사 코스트코리아,김**,혁신성장유형,부산,부산광역시 서구,제조업,기타 수산동물 가공 및 저장 처리업,냉동 수산물,2026-01-14,2029-01-13,벤처기업확인기관,신규
36248,(주)스타디엠코퍼레이션,한**,혁신성장유형,경기,경기도 부천시,기타,광고 대행업,업종별독점 광고,2025-12-21,2028-12-20,벤처기업확인기관,재확인
36249,(주)오아시스펀드,김**,혁신성장유형,서울,서울 영등포구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"응용 소프트웨어 개발 및 공급업,플랫폼개발 및 공급서비스,데이터베이스 및 온라인 정보 제공업",2026-01-07,2029-01-06,벤처기업확인기관,재확인
36250,주식회사 마스카컴퍼니,이**,연구개발유형,경기,경기도 성남시,제조업,화장품 제조업,기능성 화장품,2026-01-15,2029-01-14,벤처기업확인기관,재확인
36251,티마텍 주식회사,강**,혁신성장유형,경기,경기도 의왕시,정보처리S/W,응용 소프트웨어 개발 및 공급업,Qt 개발  컨설팅 서비스 & 드론관제시스템 및 드론시뮬레이터,2026-01-06,2029-01-05,벤처기업확인기관,재확인
36252,주식회사 오프그룹,송**,벤처투자유형,울산,울산광역시 남구,기타,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업",메뉴 컨설팅,2025-12-31,2028-12-30,벤처기업확인기관,신규
36253,삼호콘크리트㈜,신**,혁신성장유형,전남,전라남도 담양군,제조업,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",조립식구조제,2026-02-08,2029-02-07,벤처기업확인기관,재확인
36254,주식회사 창대산업,김**,혁신성장유형,경기,경기도 시흥시,제조업,철도차량 부품 및 관련 장치물 제조업,"철도차량용 제동 마찰재(브레이크 라이닝, 브레이크 슈)",2026-02-01,2029-01-31,벤처기업확인기관,재확인
36255,브이에스커뮤니티㈜,이**,벤처투자유형,경기,경기도 안양시,정보처리S/W,시스템 소프트웨어 개발 및 공급업,지식정보 플랫폼 및 서비스,2026-01-15,2029-01-14,벤처기업확인기관,재확인
36256,농업회사법인 주식회사 다들림푸드,이**,혁신성장유형,경기,경기 광주시,제조업,그 외 기타 식료품 제조업,"고춧가루,참기름,들기름,볶음참깨외",2026-02-26,2029-02-25,벤처기업확인기관,재확인
36257,주식회사 더엠와이컴퍼니,윤**,혁신성장유형,서울,서울 영등포구,제조업,화장품 제조업,"화장품 제조업,중개무역,화장품책임판매업,수출,수입,통신판매업,판매중개업",2026-01-28,2029-01-27,벤처기업확인기관,신규
36258,한국재료연소시험연구원 주식회사,채**,혁신성장유형,경기,경기도 김포시,기타,"기타 기술 시험, 검사 및 분석업",기타,2026-01-06,2029-01-05,벤처기업확인기관,신규
36259,주식회사 경이로운,허**,벤처투자유형,충남,충청남도 아산시,정보처리S/W,포털 및 기타 인터넷 정보매개 서비스업,"ai자동화,유튜브 자동화 프로그램,ai애니메이션제작,sns온라인마케팅,손그림애니메이션",2025-12-31,2028-12-30,벤처기업확인기관,신규
36260,주식회사 피에스일렉트로닉스,유**,연구개발유형,경기,경기도 성남시,제조업,그 외 기타 전자부품 제조업,고효율 전력증폭기,2025-11-28,2028-11-27,벤처기업확인기관,재확인
36261,(주)템스코,오**,혁신성장유형,서울,서울특별시 서초구,제조업,그 외 기타 전자부품 제조업,"전자부품(OLED,LCD장비부품),자동차용품 제조/화학제품,플라스틱물질 도소매,무역/부동산 임대",2026-01-27,2029-01-26,벤처기업확인기관,신규
36262,주식회사 파라미타에이아이,이**,혁신성장유형,서울,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,AI 기반 호텔 수익 최적화 솔루션,2026-02-03,2029-02-02,벤처기업확인기관,신규
36263,주식회사 메디웨이브,이**,벤처투자유형,대구,대구광역시 중구,정보처리S/W,응용 소프트웨어 개발 및 공급업,병원 시스템 자동화 서비스,2026-01-20,2029-01-19,벤처기업확인기관,신규
36264,주식회사 메타크래프트,유**,벤처투자유형,서울,서울특별시 구로구,정보처리S/W,포털 및 기타 인터넷 정보매개 서비스업,웹소설 제공,2026-02-08,2029-02-07,벤처기업확인기관,재확인
36265,주식회사 고고팩토리,이**,혁신성장유형,서울,서울특별시 강남구,기타,통신 재판매업,"무선통신 회선 재판매, 휴대폰 요금 비교 플랫폼 서비스, 유심, 중고폰 ",2025-12-07,2028-12-06,벤처기업확인기관,재확인
36266,텐어클락코퍼레이션 주식회사,박**,혁신성장유형,서울,서울특별시 서초구,정보처리S/W,컴퓨터 프로그래밍 서비스업,소프트웨어 개발 및 컴퓨터프로그래밍,2026-01-06,2029-01-05,벤처기업확인기관,신규
36267,친절한대학 주식회사,이**,혁신성장유형,서울,서울특별시 마포구,기타,온라인 교육 학원,기초 영어 강의 및 교재,2025-12-21,2028-12-20,벤처기업확인기관,재확인
36268,주식회사 한국재료공학,김**,벤처투자유형,대구,대구광역시 동구,정보처리S/W,응용 소프트웨어 개발 및 공급업,AI 기반 스마트 제련 공정 제어 솔루션,2025-12-31,2028-12-30,벤처기업확인기관,신규
36269,브이피솔루션 주식회사,이**,벤처투자유형,대구,대구광역시 동구,정보처리S/W,응용 소프트웨어 개발 및 공급업,VP솔루션 SaaS플랫폼,2026-01-07,2029-01-06,벤처기업확인기관,신규
36270,주식회사 청암산림,배**,혁신성장유형,경북,경상북도 영덕군,"농,어,임,광업",임업 관련 서비스업,산림조성·관리 및 재해대응 기술 서비스,2026-02-03,2029-02-02,벤처기업확인기관,신규
36271,주식회사 힉스,전**,벤처투자유형,강원,강원특별자치도 춘천시,도소매업,전자상거래 소매 중개업,IT 플랫폼,2026-01-06,2029-01-05,벤처기업확인기관,신규
36272,주식회사 뉴엠,강**,혁신성장유형,강원,강원특별자치도 춘천시,제조업,전기식 진단 및 요법 기기 제조업,"환자감시장치, 생체신호분석 프로그램",2025-12-15,2028-12-14,벤처기업확인기관,재확인
36273,주식회사 폴레옹,류**,혁신성장유형,부산,부산광역시 부산진구,기타,광고 대행업,광고 대행,2026-01-14,2029-01-13,벤처기업확인기관,신규
36274,슬로베이크,김**,혁신성장유형,경기,경기도 성남시,제조업,과자류 및 코코아 제품 제조업,빵류,2026-02-01,2029-01-31,벤처기업확인기관,재확인
36275,(주)세이프티온,김**,혁신성장유형,경기,경기 용인시,정보처리S/W,응용 소프트웨어 개발 및 공급업,"응용소프트웨어 개발,공급,데이터베이스,온라인정보 제공/전자상거래/온라인 교육",2026-02-25,2029-02-24,벤처기업확인기관,신규
36276,동진기공,김**,혁신성장유형,경기,경기 부천시,제조업,절삭가공 및 유사처리업,"건설장비부품(PIN, 밸브, 아답터 등) 가공",2025-12-14,2028-12-13,벤처기업확인기관,재확인
36277,주식회사 평행,홍**,혁신성장유형,경기,경기도 고양시,정보처리S/W,시스템 소프트웨어 개발 및 공급업,소프트웨어,2026-01-14,2029-01-13,벤처기업확인기관,신규
36278,주식회사 아이엔티제이,김**,혁신성장유형,경기,경기도 광명시,제조업,그 외 기타 일반목적용 기계 제조업,자동화 부품,2025-12-21,2028-12-20,벤처기업확인기관,재확인
36279,(주)휴엔,이**,연구개발유형,인천,인천광역시 남동구,제조업,주방용 전기기기 제조업,가정용 및 업소용 음식물쓰레기 처리기,2026-01-09,2029-01-08,벤처기업확인기관,재확인
36280,하나바이오텍농업회사법인주식회사,조**,벤처투자유형,전남,전라남도 무안군,제조업,생물 살균 살충제 및 식물보호제 제조업,"천연제초제,생물농약,특수아미노산",2026-02-10,2029-02-09,벤처기업확인기관,재확인
36281,주식회사 삼국,윤**,혁신성장유형,경기,경기도 남양주시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,칫솔살균기온수매트전기보일러외 생활용품,2025-12-12,2028-12-11,벤처기업확인기관,재확인
36282,와이어드컴퍼니 주식회사,홍**,벤처투자유형,서울,서울 강남구,정보처리S/W,컴퓨터시스템 통합 자문 및 구축 서비스업,"컴퓨터프로그래밍,시스템통합관리,온라인정보제공,자료처리,광고홍보/의약품,의료용품 소매,전자상거래",2026-01-28,2029-01-27,벤처기업확인기관,재확인
36283,주식회사 비엔씨알 (BNCR),최**,벤처투자유형,경기,경기도 성남시,제조업,커피 가공업,커피 원두 및 더치커피원액 등,2025-12-21,2028-12-20,벤처기업확인기관,재확인
36284,주식회사 제이엠이엔비,김**,연구개발유형,경기,경기 광명시,제조업,기타 광학기기 및 사진기 제조업,"조류측정기, 생물감시장치",2025-12-29,2028-12-28,벤처기업확인기관,재확인
36285,주식회사 르마스크코리아,박**,혁신성장유형,서울,서울특별시 마포구,제조업,핸드백 및 지갑 제조업,가방 귀걸이 목걸이,2026-02-13,2029-02-12,벤처기업확인기관,재확인
36286,주식회사 977에프로보틱스,김**,혁신성장유형,강원,강원특별자치도 원주시,도소매업,기타 산업용 기계 및 장비 도매업,조리로봇,2026-02-03,2029-02-02,벤처기업확인기관,신규
36287,주식회사 위,최**,혁신성장유형,충북,충청북도 청주시,제조업,육류 기타 가공 및 저장처리업 (가금류 제외),위찜양념갈비찜(국내산),2025-12-21,2028-12-20,벤처기업확인기관,재확인
36288,주식회사 케듀올,서**,혁신성장유형,경기,경기도 김포시,정보처리S/W,데이터베이스 및 온라인정보 제공업,온라인 한국어 교육 플랫폼 개발 및 공급업,2026-01-20,2029-01-19,벤처기업확인기관,신규
36289,㈜운트바이오,전**,혁신성장유형,경기,경기도 의정부시,도소매업,의약품 도매업,전문의약품,2026-02-13,2029-02-12,벤처기업확인기관,재확인
36290,재성이엔지,박**,혁신성장유형,인천,인천광역시 미추홀구,건설운수,배관 및 냉ㆍ난방 공사업,"항온항습기, 냉난방기",2025-12-31,2028-12-30,벤처기업확인기관,신규
36291,(주)화창이앤씨,이**,혁신성장유형,강원,강원특별자치도 원주시,건설운수,기타 토목시설물 건설업,건설업,2026-01-14,2029-01-13,벤처기업확인기관,신규
36292,예원에스 주식회사,송**,혁신성장유형,경기,경기도 시흥시,제조업,산업용 냉장 및 냉동 장비 제조업,"저온저장고, 쇼케이스, 진열대, 창고랙 등",2025-12-28,2028-12-27,벤처기업확인기관,재확인
36293,베비타 주식회사,서**,혁신성장유형,세종,세종특별자치시 금남면,"농,어,임,광업",기타 작물 재배업,"새싹인삼, 수경재배채소",2025-12-14,2028-12-13,벤처기업확인기관,재확인
36294,성우금속(주),한**,혁신성장유형,경기,경기도 안산시,제조업,도금업,중전기부품,2026-01-21,2029-01-20,벤처기업확인기관,재확인
36295,시알시피 주식회사,김**,혁신성장유형,서울,서울특별시 강서구,기타,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업","물질안전보건자료 자동작성프로그램, 화학물질 위해성평가, 인허가 자문",2026-01-07,2029-01-06,벤처기업확인기관,재확인
36296,주식회사 한국이든,한**,혁신성장유형,경기,경기도 파주시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,세탁세제,2026-03-19,2029-03-18,벤처기업확인기관,신규
36297,(주)오션브리즈,윤**,혁신성장유형,경기,경기도 안산시,제조업,화장품 제조업,화장품,2026-02-03,2029-02-02,벤처기업확인기관,신규
36298,쿱차이즈홍대점(주),정**,벤처투자유형,서울,서울 마포구,기타,일식 음식점업,일식,2026-02-08,2029-02-07,벤처기업확인기관,재확인
36299,㈜잇츠헬스,이**,벤처투자유형,서울,서울특별시 마포구,정보처리S/W,응용 소프트웨어 개발 및 공급업,의료용소프트웨어,2026-01-14,2029-01-13,벤처기업확인기관,재확인
36300,주식회사 아트앤테크,이**,혁신성장유형,경기,경기도 김포시,제조업,육상 금속 골조 구조재 제조업,나선형 계단  및 레이저컷팅,2026-02-04,2029-02-03,벤처기업확인기관,신규
36301,(주)경덕산업,진**,혁신성장유형,세종,세종 연동면,제조업,그 외 자동차용 신품 부품 제조업,"자동차용 신품 부품 제조업,합성수지　　　　　　　,플라스틱 제품 제조업,임대업",2025-12-28,2028-12-27,벤처기업확인기관,재확인
36302,주식회사 스페이스핏,윤**,혁신성장유형,경기,경기도 의왕시,제조업,전기회로 접속장치 제조업,"전원공급 트랙(배선 시스템, 트랙, 어댑터), 친환경 텐션 패브릭 패널(패브릭, 흡음재, 프로파일)",2026-02-25,2029-02-24,벤처기업확인기관,신규
36303,주식회사 팬터메딕,전**,연구개발유형,경기,경기도 용인시,도소매업,화장품 및 화장용품 도매업,화장품의료기기,2026-02-10,2029-02-09,벤처기업확인기관,재확인
36304,주식회사 콜퍼니처,김**,혁신성장유형,경남,경상남도 김해시,제조업,그 외 기타 나무제품 제조업,"일반가구(붙박이장,신발장,화장대),주방가구(씽크대)",2026-02-10,2029-02-09,벤처기업확인기관,신규
36305,에스에스알랩(주),최**,혁신성장유형,경기,경기도 용인시,제조업,혼성 및 재생 플라스틱 소재 물질 제조업,"재생플라스틱 제품, 의류, 잡화, 문규류 등",2026-02-10,2029-02-09,벤처기업확인기관,신규
36306,(주)바이오액츠비엠앤에스,박**,연구개발유형,경남,경남 김해시,연구개발서비스,의학 및 약학 연구개발업,형광시약 및 체외진단시약,2026-01-18,2029-01-17,벤처기업확인기관,재확인
36307,주식회사 루퍼스,최**,혁신성장유형,경기,경기도 용인시,정보처리S/W,응용 소프트웨어 개발 및 공급업,AI 기반 콘텐츠 플랫폼,2026-02-04,2029-02-03,벤처기업확인기관,신규
36308,나노라티스 주식회사,성**,벤처투자유형,경기,경기도 수원시,제조업,전자감지장치 제조업,"센서, 전자회로",2025-12-31,2028-12-30,벤처기업확인기관,신규
36309,뉴튠㈜,이**,벤처투자유형,서울,서울특별시 강남구,기타,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업",음원 유통 플랫폼,2026-02-10,2029-02-09,벤처기업확인기관,재확인
36310,주식회사 모모랩,이**,혁신성장유형,경기,경기도 화성시,제조업,그 외 기타 가구 제조업,인테리어,2026-01-14,2029-01-13,벤처기업확인기관,신규
36311,(주)억셉트테크놀러지,이**,연구개발유형,경기,경기 용인시,정보처리S/W,응용 소프트웨어 개발 및 공급업,IT 소프트웨어 개발 및 하드웨어개발 공급업,2025-12-30,2028-12-29,벤처기업확인기관,재확인
36312,(주)코리아사이언스,이**,혁신성장유형,부산,부산광역시 금정구,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,"방과후지원사업, 출판업, 교구",2026-01-20,2029-01-19,벤처기업확인기관,신규
36313,(주)베러웍스,임**,벤처투자유형,제주,제주특별자치도 제주시,정보처리S/W,포털 및 기타 인터넷 정보매개 서비스업,리모트잡(remote job) 정보제공및 매칭,2025-12-14,2028-12-13,벤처기업확인기관,재확인
36314,주식회사 데브갓,홍**,혁신성장유형,서울,서울특별시 구로구,정보처리S/W,모바일 게임 소프트웨어 개발 및 공급업,모바일 게임,2026-01-21,2029-01-20,벤처기업확인기관,신규
36315,주식회사 더한,이**,혁신성장유형,경남,경상남도 김해시,제조업,기타 운동 및 경기용구 제조업,"자전거보관대 , 물품보관함 제조",2026-01-27,2029-01-26,벤처기업확인기관,신규
36316,비티에스메디컬 주식회사,정**,벤처투자유형,서울,서울 강남구,제조업,그 외 기타 의료용 기기 제조업,"미용의료기기 (필러,리프팅실)",2026-01-13,2029-01-12,벤처기업확인기관,신규
36317,주식회사 토우디엔씨,박**,혁신성장유형,경기,경기도 하남시,건설운수,지반조성 건설업,"보강토 옹벽, 자립식흙막이",2025-12-21,2028-12-20,벤처기업확인기관,재확인
36318,주식회사 쏘마,이**,연구개발유형,경기,경기도 성남시,정보처리S/W,컴퓨터 프로그래밍 서비스업, sw개발,2026-02-15,2029-02-14,벤처기업확인기관,재확인
36319,(주)에프투비,이**,혁신성장유형,충남,충청남도 논산시,제조업,특수 직물 및 기타 직물 직조업,아스팔트 섬유보강재 토목용 보강재,2026-02-15,2029-02-14,벤처기업확인기관,재확인
36320,주식회사 와이케이미디어플러스,손**,벤처투자유형,경기,경기도 고양시,기타,방송 프로그램 제작업,"TV&OTT&Youtube 콘텐츠 제작, K-POP콘서트 제작,엔터테인먼트,배우매니지먼트,상품제작 및 유통 ",2025-12-31,2028-12-30,벤처기업확인기관,신규
36321,주식회사 나인비,정**,벤처투자유형,대전,대전광역시 유성구,연구개발서비스,농림수산학 및 수의학 연구개발업,건강기능식품,2026-02-14,2029-02-13,벤처기업확인기관,재확인
36322,주식회사 유토비즈,배**,연구개발유형,대전,대전광역시 유성구,정보처리S/W,응용 소프트웨어 개발 및 공급업,소프트웨어개발,2026-01-16,2029-01-15,벤처기업확인기관,재확인
36323,주식회사 슬링앤스톤,이**,혁신성장유형,경기,경기도 용인시,제조업,액체 여과기 제조업,비타민샤워필터,2026-01-20,2029-01-19,벤처기업확인기관,신규
36324,주식회사 아파트엔,나**,연구개발유형,서울,서울특별시 서초구,정보처리S/W,데이터베이스 및 온라인정보 제공업,아파트엔 서비스,2026-02-15,2029-02-14,벤처기업확인기관,재확인
36325,주식회사 에이엔에이치스트럭쳐,안**,벤처투자유형,경남,경상남도 진주시,기타,기타 엔지니어링 서비스업,항공기 구조 설계 및 해석,2026-02-13,2029-02-12,벤처기업확인기관,재확인
36326,(주)정안기술,김**,혁신성장유형,경기,경기 수원시,제조업,"물질 검사, 측정 및 분석기구 제조업",환경계측기,2025-12-14,2028-12-13,벤처기업확인기관,재확인
36327,주식회사 에코브레인,이**,연구개발유형,제주,제주특별자치도 제주시,기타,환경 관련 엔지니어링 서비스업,전문과학기술 서비스업,2026-01-15,2029-01-14,벤처기업확인기관,재확인
36328,대한기전 주식회사,박**,혁신성장유형,대구,대구광역시 달성군,제조업,배전반 및 전기 자동제어반 제조업,배전반,2026-01-18,2029-01-17,벤처기업확인기관,재확인
36329,리스핀코리아 주식회사,전**,벤처투자유형,서울,서울특별시 양천구,도소매업,건강보조식품 소매업,건강 기능식품 도소매업,2025-12-24,2028-12-23,벤처기업확인기관,신규
36330,(주)와이비랩,김**,혁신성장유형,충북,충청북도 청주시,제조업,비디오 및 기타 영상기기 제조업,"FVS(Factory Video System), FSA(Factory Safety AI)",2026-01-06,2029-01-05,벤처기업확인기관,신규
36331,주식회사 더모멘트,안**,혁신성장유형,경기,경기도 구리시,제조업,화장품 제조업,화장품,2026-02-15,2029-02-14,벤처기업확인기관,재확인
36332,대성이앤씨 주식회사,"채**,정**,엄**",혁신성장유형,경기,경기도 하남시,건설운수,"미장, 타일 및 방수 공사업",방수자재,2026-02-15,2029-02-14,벤처기업확인기관,재확인
36333,주식회사 실버칩스,전**,혁신성장유형,경기,경기도 용인시,제조업,비메모리용 및 기타 전자집적회로 제조업,반도체회로설계,2026-01-21,2029-01-20,벤처기업확인기관,재확인
36334,주식회사 티에스테크,마**,벤처투자유형,경기,경기 고양시,제조업,육상 금속 골조 구조재 제조업,강지보재,2026-01-24,2029-01-23,벤처기업확인기관,재확인
36335,㈜미농바이오,조**,벤처투자유형,서울,서울특별시 구로구,제조업,전자감지장치 제조업,병·해충 감지 스마트 농작물 관리 시스템,2026-01-14,2029-01-13,벤처기업확인기관,재확인
36336,주식회사 어쿠스틱랩(AL),이**,연구개발유형,인천,인천광역시 서구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"응용소프트웨어 개발,공급/상품종합 도소매/자료 처리/공학 연구개발/환경관련 엔지니어링",2026-02-16,2029-02-15,벤처기업확인기관,재확인
36337,주식회사 더부쓰,김**,벤처투자유형,경기,경기도 김포시,제조업,맥아 및 맥주 제조업,수제맥주,2026-01-11,2029-01-10,벤처기업확인기관,재확인
36338,주식회사 아이티엘,황**,혁신성장유형,서울,서울특별시 서초구,기타,사업 및 무형 재산권 중개업,IT분야 및 지식재산 등,2026-02-16,2029-02-15,벤처기업확인기관,재확인
36339,유나이티드보더스 주식회사,L**,벤처투자유형,서울,서울특별시 송파구,도소매업,전자상거래 소매 중개업,역직구 수출,2026-02-15,2029-02-14,벤처기업확인기관,재확인
36340,주식회사 리콘랩스,반**,벤처투자유형,서울,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,응용소프트웨어,2026-02-09,2029-02-08,벤처기업확인기관,재확인
36341,아이스펀지어학원 수학의열쇠학원,신**,혁신성장유형,서울,서울특별시 관악구,기타,외국어학원,영어회화교육,2025-11-30,2028-11-29,벤처기업확인기관,재확인
36342,주식회사 트리팜,고**,벤처투자유형,서울,서울 종로구,도소매업,화훼류 및 식물 도매업,b2b 플랜테리어 정기구독 서비스,2026-01-06,2029-01-05,벤처기업확인기관,재확인
36343,주식회사 지티소프트,손**,혁신성장유형,서울,서울 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,소프트웨어,2026-02-15,2029-02-14,벤처기업확인기관,재확인
36344,유한회사유엔에스테크,박**,혁신성장유형,전북,전북 전주시,제조업,컴퓨터 제조업,"컴퓨터, 서버, CCTV, NVR,소프트웨어개발,전구 및 램프 제조업,교통 신호장치 제조업,텔레비전 제조업,정보통신공사,경미한공사(네트워크공사, CCTV설치),컴퓨터",2026-01-12,2029-01-11,벤처기업확인기관,재확인
36345,㈜이드엠,민**,연구개발유형,광주,광주광역시 북구,기타,제품 디자인업,산업디자인공기청정기,2026-02-16,2029-02-15,벤처기업확인기관,재확인
36346,코스텍시스템 (주),배**,혁신성장유형,경기,경기도 평택시,제조업,반도체 제조용 기계 제조업,반도체 장비,2026-01-09,2029-01-08,벤처기업확인기관,재확인
36347,(주)맥킨리라이스,김**,벤처투자유형,서울,서울특별시 강남구,정보처리S/W,응용 소프트웨어 개발 및 공급업,소프트웨어,2026-02-15,2029-02-14,벤처기업확인기관,재확인
36348,주식회사 엘티씨웨어,유**,혁신성장유형,서울,서울특별시 성동구,정보처리S/W,응용 소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급,2026-03-04,2029-03-03,벤처기업확인기관,신규
36349,주식회사 제이문컴퍼니,이**,벤처투자유형,서울,서울특별시 강남구,기타,광고 대행업,"광고 대행업, 온라인 마케팅업",2026-01-06,2029-01-05,벤처기업확인기관,신규
36350,주식회사 제인파트너스,허**,혁신성장유형,경기,경기도 고양시,기타,기타 교육지원 서비스업,교육컨텐츠,2026-03-19,2029-03-18,벤처기업확인기관,신규
36351,주식회사 보타닉센스,박**,벤처투자유형,전북,전북 전주시,제조업,화장품 제조업,"화장품, 기능성 화장품",2026-02-13,2029-02-12,벤처기업확인기관,재확인
36352,주식회사 데브크라,배**,벤처투자유형,서울,서울 광진구,정보처리S/W,응용 소프트웨어 개발 및 공급업,소프트웨어 개발 등,2026-01-18,2029-01-17,벤처기업확인기관,재확인
36353,주식회사 티프렌즈,이**,혁신성장유형,인천,인천광역시 남동구,제조업,반도체 제조용 기계 제조업,레이저 설비,2026-02-15,2029-02-14,벤처기업확인기관,재확인
36354,주식회사 로피바이오,함**,혁신성장유형,인천,인천광역시 연수구,제조업,그 외 기타 분류 안된 화학제품 제조업,세포주개발,2026-02-15,2029-02-14,벤처기업확인기관,재확인
